order_no,order_type,order_state,pos_no,detail_state,date_issued,suplier_id,supplier_name,part_no,serial_no,description,qty,uom,backorder,priority,order_currency,local_price,local_amnt,foreign_price,foreign_amt,cost_center,receiving_date,author,material_type,ship_to
P0304224,P,OPEN,11,OPEN,10/14/2024,REDACTED,REDACTED,3529051050, ,PRP 905/209 FN M3P MK2 10000 ROUNDS,4,EA,4,NORMAL,EUR,146744400,586977600,9782.96,39131.84,25TAS555,,REDACTED,C,REDACTED
P0304224,P,OPEN,12,OPEN,10/14/2024,REDACTED,REDACTED,3529051060, ,PRP 905/210 FN M3P MK2 20000 ROUNDS,2,EA,2,NORMAL,EUR,182552850,365105700,12170.19,24340.38,25TAS555,,REDACTED,C,REDACTED
P0304224,P,OPEN,13,OPEN,10/14/2024,REDACTED,REDACTED,3649050090, ,PRP 905/186 ELASTIC CRADLE 25000 RDS,2,EA,2,NORMAL,EUR,3575400,7150800,238.36,476.72,25TAS555,,REDACTED,C,REDACTED
P0304224,P,OPEN,14,OPEN,10/14/2024,REDACTED,REDACTED,3529051080, ,RRP 905/212 FN M3P MK2 ADVANCED,1,EA,1,NORMAL,EUR,324018750,324018750,21601.25,21601.25,25TAS555,,REDACTED,C,REDACTED
P0304224,P,OPEN,15,OPEN,10/14/2024,REDACTED,REDACTED,3529051070, ,RRP 905/211 FN M3P MK2 BASIC,1,EA,1,NORMAL,EUR,111191550,111191550,7412.77,7412.77,25TAS555,,REDACTED,C,REDACTED
P0304224,P,OPEN,16,OPEN,10/14/2024,REDACTED,REDACTED,8009000206, ,FN HMP FN M3P TECHNICAL DOC,1,EA,1,NORMAL,EUR,221455800,221455800,14763.72,14763.72,25TAS555,,REDACTED,C,REDACTED
P0304224,P,OPEN,17,OPEN,10/14/2024,REDACTED,REDACTED,4450001380, ,"12.7X99MM, 4B+1T, REACH PROP, M9 LIN",1000,EA,1000,NORMAL,EUR,80250,80250000,5.35,5350,25TAS555,,REDACTED,C,REDACTED
P0304324,P,RECEIVED,1,RECEIVED,10/15/2024,REDACTED,REDACTED,ALCLAD 20 MM, ,ALCLAD 20 MM FOR HEMS ADAPTER,1,SHT,0,URGENT,IDR,2953000,2953000,2953000,2953000,24GBO105,10/25/2024,REDACTED,N,REDACTED
P0304424,P,RECEIVED,1,RECEIVED,10/15/2024,REDACTED,REDACTED,E0688-00, ,SPACER,100,EA,0,NORMAL,EUR,13650,1365000,0.91,91,CSMBGEN,11/11/2024,REDACTED,C,REDACTED
P0304424,P,RECEIVED,2,RECEIVED,10/15/2024,REDACTED,REDACTED,E0688-01, ,BUTTERFLY SPACER,240,EA,0,NORMAL,EUR,15750,3780000,1.05,252,CSMBGEN,11/11/2024,REDACTED,C,REDACTED
